影片名,最终评分,五星,四星,三星,二星,一星
泰坦尼克号 Titanic,9.4,76.1%,20.7%,3.0%,0.2%,0.1%
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,67.0%,26.5%,5.8%,0.5%,0.2%
名侦探柯南：万圣节的新娘 名探偵コナン ハロウィンの花嫁,7.5,19.8%,42.5%,32.0%,4.7%,1.0%
猫鼠游戏 Catch Me If You Can,9.1,60.7%,33.9%,5.1%,0.2%,0.1%
阿甘正传 Forrest Gump,9.5,77.3%,19.8%,2.6%,0.2%,0.1%
卿卿日常,7.6,27.2%,39.5%,22.9%,6.9%,3.5%
哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,9.2,64.7%,29.1%,5.8%,0.3%,0.1%
超能陆战队 Big Hero 6,8.7,48.3%,40.9%,10.1%,0.6%,0.1%
疯狂动物城+ Zootopia+,8.6,45.8%,38.8%,14.0%,1.1%,0.3%
寻梦环游记 Coco,9.1,62.0%,30.6%,6.8%,0.4%,0.2%
海上钢琴师 La leggenda del pianista sull'oceano,9.3,70.8%,24.3%,4.4%,0.4%,0.2%
点燃我，温暖你,7.2,26.1%,32.9%,22.6%,10.1%,8.4%
这个杀手不太冷 Léon,9.4,73.8%,22.7%,3.2%,0.2%,0.1%
我和我的祖国,7.6,20.8%,44.9%,29.3%,3.9%,1.1%
当幸福来敲门 The Pursuit of Happyness,9.2,64.7%,29.2%,5.6%,0.4%,0.1%
火山挚恋 Fire of Love,9.0,57.7%,35.1%,6.8%,0.4%,0.0%
釜山行 부산행,8.6,43.2%,44.6%,11.0%,0.8%,0.3%
绿皮书 Green Book,8.9,54.9%,37.5%,7.1%,0.4%,0.1%
楚门的世界 The Truman Show,9.4,71.5%,24.8%,3.4%,0.2%,0.1%
谢谢你医生,6.3,16.0%,25.6%,29.4%,15.7%,13.3%
神偷奶爸 Despicable Me,8.6,44.5%,44.1%,10.8%,0.5%,0.1%
功夫,8.8,52.4%,35.5%,11.1%,0.9%,0.2%
6/45 육사오,7.7,18.5%,49.3%,29.6%,2.3%,0.3%
她和她的她,8.6,46.0%,41.5%,10.8%,1.1%,0.5%
哈尔的移动城堡 ハウルの動く城,9.1,63.5%,29.7%,6.3%,0.4%,0.1%
阿凡达 Avatar,8.8,53.7%,35.1%,10.1%,0.8%,0.3%
坠落 Fall,7.2,11.5%,42.7%,40.5%,4.6%,0.7%
新神榜：杨戬,7.0,12.4%,37.7%,40.1%,8.0%,1.7%
少年派的奇幻漂流 Life of Pi,9.1,61.5%,31.5%,6.4%,0.4%,0.2%
少年的你,8.2,34.0%,46.6%,16.1%,2.1%,1.3%
怦然心动 Flipped,9.1,62.2%,30.6%,6.6%,0.5%,0.1%
脱口秀大会 第五季,5.6,10.0%,19.6%,32.0%,18.1%,20.2%
分手的决心 헤어질 결심,7.6,18.7%,47.4%,29.4%,3.6%,0.8%
无间道 無間道,9.3,68.7%,27.1%,3.9%,0.2%,0.1%
摔跤吧！爸爸 Dangal,9.0,59.6%,33.0%,6.8%,0.5%,0.2%
西线无战事 Im Westen nichts Neues,8.6,43.8%,42.5%,12.1%,1.3%,0.4%
放牛班的春天 Les choristes,9.3,70.8%,25.5%,3.5%,0.2%,0.1%
霸王别姬,9.6,82.4%,15.4%,1.9%,0.1%,0.1%
夏洛特烦恼,7.8,27.9%,42.4%,23.6%,4.3%,1.8%
看不见的客人 Contratiempo,8.8,48.5%,41.7%,9.2%,0.5%,0.1%
唐朝诡事录,7.9,24.9%,48.7%,22.0%,2.9%,1.4%
飞屋环游记 Up,9.1,60.6%,32.7%,6.3%,0.3%,0.1%
让子弹飞,9.0,58.8%,32.0%,8.1%,0.7%,0.3%
独行月球,6.7,10.7%,30.9%,43.1%,12.0%,3.3%
何以为家 كفرناحوم,9.1,59.9%,34.0%,5.5%,0.4%,0.2%
唐伯虎点秋香 唐伯虎點秋香,8.7,47.6%,41.3%,10.4%,0.6%,0.1%
黑亚当 Black Adam,5.9,3.5%,15.7%,55.3%,21.0%,4.5%
你的名字。 君の名は。,8.5,43.5%,38.6%,15.9%,1.6%,0.4%
苍兰诀,7.9,36.0%,35.7%,19.5%,4.1%,4.7%
大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,9.0,60.1%,31.8%,7.3%,0.5%,0.2%
人生大事,7.3,14.5%,43.7%,35.8%,5.0%,1.0%
哪吒之魔童降世,8.4,42.4%,39.1%,15.5%,2.2%,0.8%
机器人总动员 WALL·E,9.3,71.8%,24.0%,3.9%,0.2%,0.1%
触不可及 Intouchables,9.3,68.6%,27.1%,4.0%,0.2%,0.1%
肖申克的救赎 The Shawshank Redemption,9.7,85.8%,12.8%,1.2%,0.1%,0.1%
盗梦空间 Inception,9.4,72.3%,23.9%,3.5%,0.2%,0.1%
疯狂动物城 Zootopia,9.2,65.9%,29.3%,4.5%,0.2%,0.1%
唐人街探案3,5.3,3.6%,12.4%,41.1%,29.6%,13.2%
你好，李焕英,7.7,23.5%,45.0%,27.1%,3.6%,0.9%
寄生虫 기생충,8.8,49.1%,41.9%,8.1%,0.6%,0.3%
扫黑行动,4.6,3.1%,16.3%,20.9%,26.9%,32.9%
花束般的恋爱 花束みたいな恋をした,8.6,44.4%,42.7%,11.5%,1.0%,0.3%
星际穿越 Interstellar,9.4,74.3%,21.3%,3.8%,0.4%,0.2%
